_type,address_city,address_full,address_state,address_street,address_zipcode,area,area_unit,broker_name,currency,detail_url,has_image,id,image,lot_size,lot_unit,num_baths,num_beds,pets,price,rent_per,spider_name,status,tags,time_scraped,url
PropertyItem,Dublin,"6180 Riverside DrDublin, OH 43017",OH,6180 Riverside Dr,43017,1000,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/6180-Riverside-Dr_Dublin_OH_43017_M34936-93157,TRUE,3493693157,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,1.5,2,Pets,Contact For Price,null,realtor_property,For Rent - Apartment,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"6512 Linchmere LnDublin, OH 43017",OH,6512 Linchmere Ln,43017,300 - 900,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/6512-Linchmere-Ln_Dublin_OH_43017_M34941-77614,TRUE,3494177614,https://ar.rdcpix.com/9168276fadc259941a674661da51d09ac-f3670771966od-w480_h360_x2_2x.jpg,null,null,1,Studio - 2,Cats,700 - 975,month,realtor_property,For Rent - Apartment,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"7200 Chadwood LnDublin, OH 43017",OH,7200 Chadwood Ln,43017,636 - 1049,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/7200-Chadwood-Ln_Dublin_OH_43017_M33221-28706,TRUE,3322128706,https://ar.rdcpix.com/fb12c7afeb4348947b5efb8b5d0a3177c-f3269481551od-w480_h360_x2_2x.jpg,null,null,2-Jan,2-Jan,Pets,1050 - 1325,month,realtor_property,For Rent - Apartment,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"6696-6698 Canaan CirDublin, OH 43017",OH,6696-6698 Canaan Cir,43017,null,null,null,$,https://www.realtor.com/realestateandhomes-detail/6696-6698-Canaan-Cir_Dublin_OH_43017_M92187-12177,TRUE,9218712177,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,1.5,3,null,1600,month,realtor_property,For Rent - Duplex/Triplex,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"4105 Stoneridge LnDublin, OH 43017",OH,4105 Stoneridge Ln,43017,null,null,Rentalhousingdeals .Com,$,https://www.realtor.com/realestateandhomes-detail/4105-Stoneridge-Ln_Dublin_OH_43017_M90710-52519,TRUE,9071052519,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,1,1,null,769,month,realtor_property,For Rent - Apartment,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"2979 Green Arbor LnDublin, OH 43017",OH,2979 Green Arbor Ln,43017,598 - 1095,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/2979-Green-Arbor-Ln_Dublin_OH_43017_M34807-64383,TRUE,3480764383,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,2-Jan,2-Jan,Pets,1074 - 1350,month,realtor_property,For Rent - Apartment,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"6564 Millridge CirDublin, OH 43017",OH,6564 Millridge Cir,43017,600 - 900,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/6564-Millridge-Cir_Dublin_OH_43017_M45413-73160,TRUE,4541373160,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,1,2-Jan,Pets,956 - 1254,month,realtor_property,For Rent - Apartment,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"5639 Scioto Crest DrDublin, OH 43017",OH,5639 Scioto Crest Dr,43017,760 - 1132,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/5424-Riverside-Dr_Dublin_OH_43017_M36395-98890,TRUE,3639598890,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,2-Jan,2-Jan,Pets,1078 - 1469,month,realtor_property,For Rent - Apartment,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"219-225 Perth DrDublin, OH 43017",OH,219-225 Perth Dr,43017,758 - 1104,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/219-225-Perth-Dr_Dublin_OH_43017_M93082-51464,TRUE,9308251464,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,1 - 1.5,2-Jan,Pets,1237 - 1421,month,realtor_property,For Rent - Apartment,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"6700 Sycamore Ridge BlvdDublin, OH 43017",OH,6700 Sycamore Ridge Blvd,43017,878 - 1474,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/6700-Sycamore-Ridge-Blvd_Dublin_OH_43017_M35744-37727,TRUE,3574437727,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,2-Jan,3-Jan,Pets,1325 - 2460,month,realtor_property,For Rent - Apartment,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
